DASYLab 2016 - 2016,,,,,,,,,,,,,,,,,,,,,,,
Worksheet name: CLT oneway,,,,,,,,,,,,,,,,,,,,,,,
"Recording date     : 10/2/2020, 11:28:46 AM",0.025849,0.089978,4E-06,3.420515,3.827184,0.998699,0.36403,1.378631,1.144828,1.412109,1.357921,0.346829,0.216133,0.090803,0.532762,0.510192,0.519088,-0.000597,0.654989,0.55679,,,
Block length       : 4,,,,,,,,,,,,,,,,,,,,,,,
Delta              : 0.1 sec.,,,,,,,,,,,,,,,,,,,,,,,
Number of channels : 16,,,,,,,,,,,,,,,,,,,,,,,
Time,Load (kips),Act. Disp. (in),S. CL Disp (in),W. Quarter (in),E. Quarter (in(),Compression Strain (in),Tension Strain,West Slip 1,West Slip 2,West Slip 3,West Slip 4,East Slip 5,East Slip 6,East Slip 7,East Slip 8,West Vertical Separation (in),East Vertical Separation,N. CL Disp (in),W Support,E Support,,Avg CL Disp(in),Avg Support Disp (in)
28:49.0,0.0705,0.08789,-0.00027,3.42096,3.82611,0.99964,0.36417,1.37932,1.14476,1.4125,1.35765,0.34622,0.21589,0.09083,0.53215,0.51001,0.51483,-0.00085,0.65472,0.55759,,,
28:49.0,-0.04028,0.08569,0.00031,3.41904,3.8264,0.99859,0.36469,1.37872,1.1445,1.41211,1.35778,0.34622,0.21629,0.09083,0.53209,0.51068,0.51385,-0.00057,0.65518,0.5563,,,
28:49.0,0.09735,0.08624,-0.00027,3.41933,3.82727,0.99846,0.36404,1.37846,1.14476,1.41172,1.35798,0.34667,0.21596,0.09064,0.53272,0.51007,0.51422,-0.00156,0.65472,0.55673,,,
28:49.0,0.10406,0.07581,-0.00185,3.42007,3.82872,0.9971,0.3643,1.37998,1.14482,1.41256,1.35895,0.34609,0.21589,0.09019,0.53202,0.51031,0.51453,-0.00114,0.65485,0.55673,,,
28:49.0,-0.05371,0.11426,0.00045,3.42125,3.82756,0.99905,0.36397,1.37945,1.14469,1.41237,1.3583,0.34648,0.21681,0.09095,0.5319,0.51001,0.51437,-0.00199,0.65494,0.55713,,,
28:49.0,0.12421,0.09448,0.00031,3.42066,3.82829,1.00009,0.3643,1.37879,1.14404,1.41217,1.3583,0.34641,0.21615,0.09121,0.5324,0.51013,0.51392,-0.00171,0.65463,0.55777,,,
28:50.0,0.12085,0.08569,0.00016,3.42066,3.82756,0.99736,0.36475,1.37839,1.14463,1.41282,1.35817,0.34674,0.2174,0.09057,0.53246,0.51062,0.5134,-0.00142,0.6553,0.55682,,,
28:50.0,0.09064,0.10492,-0.00142,3.42051,3.82902,0.99703,0.36443,1.37932,1.14437,1.41211,1.35921,0.347,0.21661,0.0907,0.53164,0.5101,0.51425,-0.00171,0.65497,0.55725,,,
28:50.0,0.12756,0.10657,-0.0007,3.42125,3.82742,0.99716,0.36417,1.37866,1.14463,1.4123,1.35785,0.34661,0.2172,0.09089,0.53228,0.51062,0.51349,-0.00256,0.6554,0.55655,,,
28:50.0,0.1947,0.10712,0.00016,3.41963,3.82698,0.99742,0.36462,1.37819,1.14463,1.4123,1.35778,0.34628,0.21635,0.09095,0.53297,0.51047,0.51343,-0.00085,0.65463,0.55652,,,
28:50.0,0.11414,0.13513,-0.00113,3.42185,3.82756,0.99729,0.36436,1.37991,1.14495,1.41243,1.35843,0.34641,0.21642,0.09025,0.53177,0.51035,0.51389,-0.00185,0.65512,0.55707,,,
28:50.0,-0.0705,0.15985,-0.00113,3.42199,3.82538,0.99762,0.36391,1.37872,1.14508,1.41217,1.35798,0.34759,0.21629,0.09076,0.53329,0.50983,0.51373,0.00142,0.65491,0.55682,,,
28:50.0,0.07721,0.13568,0.0006,3.4214,3.82756,0.99964,0.36371,1.37866,1.1443,1.41165,1.35817,0.34713,0.21655,0.09095,0.53303,0.51001,0.51355,-0.00057,0.65463,0.55688,,,
28:50.0,0.01343,0.14502,-0.00041,3.42111,3.82756,0.9969,0.36462,1.37859,1.14456,1.41217,1.3583,0.34687,0.21635,0.09076,0.53234,0.51044,0.51376,-0.00114,0.65549,0.5567,,,
28:50.0,0.06378,0.1593,-0.00085,3.42125,3.82684,0.99872,0.36404,1.37899,1.14482,1.41256,1.3583,0.34687,0.2157,0.09127,0.5319,0.51016,0.51468,-0.00171,0.655,0.55774,,,
28:50.0,0.10071,0.18842,-0.00099,3.42081,3.82829,0.99866,0.36358,1.37972,1.1445,1.41217,1.35934,0.34628,0.21668,0.09115,0.53202,0.51007,0.5141,-0.00142,0.65485,0.55716,,,
28:50.0,-0.07721,0.17798,0.00088,3.42214,3.8264,0.99716,0.36482,1.37872,1.14476,1.41243,1.3583,0.34693,0.21642,0.09089,0.53177,0.51038,0.51328,-0.00043,0.65524,0.55679,,,
28:50.0,0.02014,0.2005,-0.0007,3.42214,3.82843,0.9971,0.36404,1.37866,1.14456,1.41185,1.35882,0.3468,0.21602,0.09102,0.53177,0.51016,0.51395,-0.00185,0.65506,0.55725,,,
28:51.0,0.03021,0.15875,-0.00128,3.41992,3.82727,0.99755,0.36391,1.37853,1.14469,1.41172,1.35837,0.34628,0.21629,0.0907,0.53215,0.5105,0.5134,-0.00142,0.65488,0.55655,,,
28:51.0,0.13763,0.16864,0.00002,3.41918,3.82625,0.99814,0.36417,1.37826,1.14437,1.41172,1.35765,0.34635,0.21629,0.0907,0.53297,0.51022,0.51358,-0.00057,0.65457,0.55652,,,
28:51.0,-0.01007,0.17084,-0.00085,3.42111,3.82727,0.99775,0.3641,1.37965,1.14489,1.41198,1.35759,0.34654,0.21661,0.09051,0.53196,0.51065,0.51373,-0.00142,0.65567,0.55676,,,
28:51.0,-0.06042,0.22412,0.00088,3.4214,3.82669,0.99957,0.36417,1.37846,1.14463,1.41217,1.35824,0.34667,0.21668,0.09108,0.53335,0.50998,0.51346,-0.00057,0.65512,0.55716,,,
28:51.0,0.04028,0.16864,-0.00027,3.4214,3.82771,0.99996,0.36332,1.37892,1.14404,1.41178,1.35798,0.34674,0.21688,0.09089,0.53259,0.51007,0.51367,-0.00213,0.65479,0.55695,,,
28:51.0,0,0.15491,-0.00157,3.42022,3.82684,0.99729,0.36488,1.37853,1.14489,1.41217,1.35765,0.34641,0.21602,0.09089,0.5324,0.51059,0.51355,-0.00171,0.655,0.55621,,,
28:51.0,0.09735,0.19281,-0.00185,3.4217,3.82843,0.99697,0.36391,1.37952,1.14443,1.41224,1.35889,0.34667,0.21635,0.09108,0.53177,0.51013,0.51392,-0.00227,0.65506,0.5575,,,
28:51.0,0.12756,0.18677,-0.00142,3.41992,3.82829,0.99827,0.36417,1.37919,1.14482,1.41211,1.35843,0.34628,0.21609,0.09102,0.53265,0.51031,0.51355,-0.00185,0.6546,0.55685,,,
28:52.0,-0.00336,0.16864,-0.00027,3.42007,3.82684,0.9982,0.36423,1.37872,1.14489,1.41185,1.35713,0.3468,0.21563,0.09038,0.53272,0.51031,0.51349,-0.00057,0.65475,0.55667,,,
28:52.0,0.047,0.17468,-0.00157,3.42125,3.82669,0.99879,0.36521,1.37859,1.14469,1.41289,1.35778,0.34661,0.21655,0.09064,0.53196,0.51056,0.51358,-0.00085,0.65536,0.55627,,,
28:52.0,0.11414,0.16315,-0.0007,3.41992,3.82727,0.99911,0.36397,1.37826,1.14508,1.41172,1.35804,0.34746,0.21602,0.09108,0.53373,0.51025,0.51346,-0.00071,0.6546,0.55667,,,
28:52.0,-0.047,0.1994,0.0016,3.42214,3.82698,0.99977,0.36338,1.37886,1.14469,1.4123,1.35811,0.3468,0.21563,0.09095,0.53291,0.50992,0.51361,-0.00128,0.65494,0.55688,,,
28:52.0,0.06378,0.17688,-0.00013,3.41889,3.82654,0.99872,0.36436,1.37886,1.14495,1.41178,1.35791,0.34648,0.21556,0.09064,0.53234,0.51028,0.5137,-0.00057,0.65494,0.55658,,,
28:52.0,0.07385,0.19446,-0.00185,3.42111,3.82858,0.99853,0.36449,1.37965,1.14476,1.41237,1.35837,0.34641,0.21576,0.09076,0.53164,0.51016,0.51413,-0.00185,0.65497,0.55713,,,
28:52.0,0.0705,0.16315,-0.00099,3.42125,3.82916,0.99775,0.36436,1.37945,1.14443,1.41204,1.35876,0.34674,0.21668,0.0907,0.53234,0.51025,0.51331,-0.00171,0.65488,0.55676,,,
28:52.0,-0.03693,0.18512,0.00189,3.42111,3.82611,0.99931,0.36351,1.37859,1.14508,1.41217,1.35817,0.3468,0.21622,0.0907,0.5336,0.50983,0.51352,-0.00043,0.65469,0.55695,,,
